algorithm,memory_kb,are_mean,are_std,are_min,are_max,cosine_sim_mean,cosine_sim_std,packets_sum,flow_id_nunique
fourier,96,0.9551,0.0588,0.8354,1.0,0.7095,0.2424,104024,2
fourier,128,0.9551,0.0588,0.8354,1.0,0.7095,0.2424,104024,2
fourier,192,0.9551,0.0588,0.8354,1.0,0.7095,0.2424,104024,2
fourier,256,0.9551,0.0588,0.8354,1.0,0.7095,0.2424,104024,2
omniwindow,96,1.0,0.0,1.0,1.0,1.0,0.0,104024,2
omniwindow,128,1.0,0.0,1.0,1.0,1.0,0.0,104024,2
omniwindow,192,1.0,0.0,1.0,1.0,1.0,0.0,104024,2
omniwindow,256,1.0,0.0,1.0,1.0,1.0,0.0,104024,2
persistcms,96,0.787,0.1189,0.6213,1.0,0.8527,0.2318,104024,2
persistcms,128,0.787,0.1189,0.6213,1.0,0.8527,0.2318,104024,2
persistcms,192,0.787,0.1189,0.6213,1.0,0.8527,0.2318,104024,2
persistcms,256,0.787,0.1189,0.6213,1.0,0.8527,0.2318,104024,2
wavesketch,96,289.1279,116.0539,1.0,389.939,0.8549,0.2327,104024,2
wavesketch,128,289.1279,116.0539,1.0,389.939,0.8549,0.2327,104024,2
wavesketch,192,289.1279,116.0539,1.0,389.939,0.8549,0.2327,104024,2
wavesketch,256,289.1279,116.0539,1.0,389.939,0.8549,0.2327,104024,2
