algorithm,memory_kb,count,mean_are,mean_cosine,mean_euclid,mean_energy
fourier,8,10,1.0,1.0,200.0,0.0
fourier,16,10,1.0,1.0,200.0,0.0
fourier,32,10,1.0,1.0,200.0,0.0
fourier,64,10,1.0,1.0,200.0,0.0
fourier,128,10,1.0,1.0,200.0,0.0
fourier,256,10,1.0,1.0,200.0,0.0
omniwindow,8,10,1.0,1.0,200.0,0.0
omniwindow,16,10,1.0,1.0,200.0,0.0
omniwindow,32,10,1.0,1.0,200.0,0.0
omniwindow,64,10,1.0,1.0,200.0,0.0
omniwindow,128,10,1.0,1.0,200.0,0.0
omniwindow,256,10,1.0,1.0,200.0,0.0
persistcms,8,10,1.0,1.0,200.0,0.0
persistcms,16,10,1.0,1.0,200.0,0.0
persistcms,32,10,1.0,1.0,200.0,0.0
persistcms,64,10,1.0,1.0,200.0,0.0
persistcms,128,10,1.0,1.0,200.0,0.0
persistcms,256,10,1.0,1.0,200.0,0.0
wavesketch-ideal,8,10,1.0,1.0,200.0,0.0
wavesketch-ideal,16,10,1.0,1.0,200.0,0.0
wavesketch-ideal,32,10,1.0,1.0,200.0,0.0
wavesketch-ideal,64,10,1.0,1.0,200.0,0.0
wavesketch-ideal,128,10,1.0,1.0,200.0,0.0
wavesketch-ideal,256,10,1.0,1.0,200.0,0.0
