time_s,algorithm,memory_kb,flow_id,packets,are,cosine_sim
2,persistcms,256,211110695338241,1854,1,1
3,persistcms,256,211110695338241,3867,0.897249,0.67746
4,persistcms,256,211110695338241,5631,0.864767,0.84045
4,persistcms,256,211110695338497,46,1,1
5,persistcms,256,211110695338241,7391,0.84472,0.879302
5,persistcms,256,211110695338497,89,0.815217,0.730527
6,persistcms,256,211110695338241,9436,0.83214,0.874737
6,persistcms,256,211110695338497,93,0.745029,0.997422
7,persistcms,256,211110695338241,10605,0.826457,0.963279
7,persistcms,256,211110695338497,814,0.621271,0.0869679
8,persistcms,256,211110695338241,11420,0.811655,0.97919
8,persistcms,256,211110695338497,1973,0.626005,0.529649
9,persistcms,256,211110695338241,13292,0.791333,0.912736
9,persistcms,256,211110695338497,2196,0.639157,0.98324
10,persistcms,256,211110695338241,15217,0.790183,0.921118
10,persistcms,256,211110695338497,2237,0.640097,0.995706
12,persistcms,256,211110695338241,15427,0.790437,0.991475
12,persistcms,256,211110695338497,2436,0.630207,0.985954
